seller_id,seller_city,seller_zip_code_prefix,delivered_order_count
6560211a19b47992c3666cc44a7e94c0,sao paulo,5849,1819
4a3ca9315b744ce9f8e9374361493884,ibitinga,14940,1772
cc419e0650a3c5ba77189a1882b7556a,santo andre,9015,1651
1f50f920176fa81dab994f9023523100,sao jose do rio preto,15025,1399
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,13405,1311
955fee9216a65b617aa5c0531780ce60,sao paulo,4782,1261
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,3426,1145
ea8482cd71df3c1969d7b9473ff13abc,sao paulo,4160,1132
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,14840,1124
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,13232,1064
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,8577,973
8b321bb669392f5163d04c59e235e066,sao paulo,1212,930
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,3204,910
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,25645,724
a1043bafd471dff536d0c462352beb48,ilicinea,37175,702
cca3071e3e9bb7d12640c9fbe2301306,ibitinga,14940,699
f8db351d8c4c4c22c6835c19a46f01b0,salto,13324,659
e9779976487b77c6d4ac45f75ec7afe9,praia grande,11701,645
fa1c13f2614d7b5c4749cbc52fecda94,sumare,13170,578
7d13fca15225358621be4086e1eb0964,ribeirao preto,14050,558
128639473a139ac0f3e5f5ade55873a5,maringa,87050,527
d91fb3b7d041e83b64a00a3edfb37e4f,praia grande,11704,524
391fc6631aebcf3004804e51b40bcf1e,ibitinga,14940,521
d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,14940,514
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,22240,504
85d9eb9ddc5d00ca9336a2219c97bb13,belo horizonte,31255,499
53e4c6e0f4312d4d2107a8c9cddf45cd,pedreira,13920,463
1835b56ce799e6a4dc4eddc053f04066,ibitinga,14940,417
4e922959ae960d389249c378d1c939f5,jacarei,12327,412
1900267e848ceeba8fa32d80c1a5f5a8,ibitinga,14940,406
16090f2ca825584b5a147ab24aa30c86,atibaia,12940,398
dbc22125167c298ef99da25668e1011f,borda da mata,37564,394
9f505651f4a6abe901a56cdc21508025,sao paulo,4102,393
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,65072,389
2138ccb85b11a4ec1e37afbd1c8eda1f,sao paulo,8250,388
218d46b86c1881d022bce9c68a7d4b15,ribeirao preto,14070,382
8160255418d5aaa7dbdc9f4c64ebda44,ibitinga,14940,380
8581055ce74af1daba164fdbd55a40de,guarulhos,7112,379
4d6d651bd7684af3fffabd5f08d12e5a,jau,17209,363
53243585a1d6dc2643021fd1853d8905,lauro de freitas,42738,348
c826c40d7b19f62a09e2d7c5e7295ee2,guarulhos,7133,346
de722cd6dad950a92b7d4f82673f8833,recife,51250,337
7299e27ed73d2ad986de7f7c77d919fa,araguari,38440,335
92eb0f42c21942b6552362b9b114707d,sao paulo,3504,334
7ddcbb64b5bc1ef36ca8c151f6ec77df,sao paulo,4403,325
b2ba3715d723d245138f291a6fe42594,sao paulo,3470,324
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,13450,322
7e93a43ef30c4f03f38b393420bc753a,barueri,6429,319
ef506c96320abeedfb894c34db06f478,sao paulo,3569,316
7142540dd4c91e2237acb7e911c4eba2,penapolis,16301,316
77530e9772f57a62c906e1c21538ab82,curitiba,80310,312
70a12e78e608ac31179aea7f8422044b,jacarei,12327,312
87142160b41353c4e5fca2360caf6f92,porto alegre,90230,305
fa40cc5b934574b62717c68f3d678b6d,sao paulo,2310,304
897060da8b9a21f655304d50fd935913,ribeirao preto,14092,304
855668e0971d4dfd7bef1b6a4133b41b,itatiba,13257,300
fe2032dab1a61af8794248c8196565c9,campinas,13030,293
c3cfdc648177fdbbbb35635a37472c53,curitiba,80610,278
37be5a7c751166fbc5f8ccba4119e043,sao paulo,4248,269
634964b17796e64304cadf1ad3050fb7,rio de janeiro,21840,265
1da3aeb70d7989d1e6d9b0e887f97c23,sao paulo,4265,261
c70c1b0d8ca86052f45a432a38b73958,hortolandia,13186,260
4c2b230173bb36f9b240f2b8ac11786e,sao paulo,3933,258
562fc2f2c2863ab7e79a9e4388a58a14,campinas,13070,255
a3a38f4affed601eb87a97788c949667,joinville,89204,251
17e34d8224d27a541263c4c64b11a56b,riberao preto,14085,247
88460e8ebdecbfecb5f9601833981930,maringa,87030,246
1554a68530182680ad5c8b042c3ab563,monte siao,37580,246
0241d4d5d36f10f80c644447315af0bd,curitiba,80330,238
0ea22c1cfbdc755f86b9b54b39c16043,sete lagoas,35700,234
c3867b4666c7d76867627c2f7fb22e21,guara,14580,228
37515688008a7a40ac93e3b2e4ab203f,dracena,17900,227
dc4a0fc896dc34b0d5bfec8438291c80,ibitinga,14940,225
f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,9628,218
4b9750c8ad28220fe6702d4ecb7c898f,limeira,13484,217
e5a3438891c0bfdb9394643f95273d8e,limeira,13483,216
d1c281d3ae149232351cd8c8cc885f0d,ibitinga,14940,214
7aa4334be125fcdd2ba64b3180029f14,laranjal paulista,18500,214
8d956fec2e4337affcb520f56fd8cbfd,sao bernardo do campo,9780,210
